,strategy,rate,iteration,total_correctness,avg_correctness
0,2,100,100,0,0.0
1,2,100,13,0,0.0
2,2,100,14,0,0.0
3,2,100,10,0,0.0
4,2,100,15,19239.00575756185,243.53171845014998
5,2,100,16,50911.98722643136,834.6227414169075
6,2,100,20,0,0.0
7,2,100,11,67898.59363583317,323.32663636111033
8,2,100,21,0,0.0
9,2,100,23,0,0.0
10,2,100,1,65993.93365532775,246.24602110196923
11,2,100,18,0,0.0
12,2,100,28,50911.98722643136,834.6227414169075
13,2,100,3,0,0.0
14,2,100,26,26001.058419276254,232.15230731496655
15,2,100,29,0,0.0
16,2,100,30,1645.4525697852123,71.54141607761792
17,2,100,33,12192.390757984862,277.0997899542014
18,2,100,36,1645.4525697852123,71.54141607761792
19,2,100,25,0,0.0
20,2,100,31,0,0.0
21,2,100,27,67898.59363583317,323.32663636111033
22,2,100,12,204155.6444372478,533.0434580606992
23,2,100,34,0,0.0
24,2,100,37,0,0.0
25,2,100,38,19239.00575756185,243.53171845014998
26,2,100,42,0,0.0
27,2,100,41,2491.3612196117924,56.621845900268006
28,2,100,24,192449.87678893236,542.112328982908
29,2,100,48,0,0.0
30,2,100,47,50911.98722643136,834.6227414169075
31,2,100,22,139874.29847249828,266.427235185711
32,2,100,49,0,0.0
33,2,100,4,67898.59363583317,323.32663636111033
34,2,100,45,0,0.0
35,2,100,44,0,0.0
36,2,100,39,65993.93365532775,246.24602110196923
37,2,100,54,0,0.0
38,2,100,55,2491.3612196117924,56.621845900268006
39,2,100,56,1645.4525697852123,71.54141607761792
40,2,100,2,62850.03505129736,94.08687881930743
41,2,100,52,13517.329325164925,164.845479575182
42,2,100,5,0,0.0
43,2,100,57,0,0.0
44,2,100,32,0,0.0
45,2,100,46,0,0.0
46,2,100,59,9039.092664469039,903.9092664469039
47,2,100,65,0,0.0
48,2,100,61,0,0.0
49,2,100,60,13517.329325164925,164.845479575182
50,2,100,19,0,0.0
51,2,100,67,3352.70882599748,68.42262910198939
52,2,100,68,12192.390757984862,277.0997899542014
53,2,100,69,0,0.0
54,2,100,58,65993.93365532775,246.24602110196923
55,2,100,17,110724.05839596894,106.1592122684266
56,2,100,72,0,0.0
57,2,100,6,0,0.0
58,2,100,53,0,0.0
59,2,100,71,19239.00575756185,243.53171845014998
60,2,100,51,149672.22385562636,285.08995020119306
61,2,100,76,0,0.0
62,2,100,50,0,0.0
63,2,100,79,3352.70882599748,68.42262910198939
64,2,100,75,0,0.0
65,2,100,8,13517.329325164925,164.845479575182
66,2,100,84,9039.092664469039,903.9092664469039
67,2,100,78,25270.350710945582,165.16569092121296
68,2,100,81,13517.329325164925,164.845479575182
69,2,100,62,149672.22385562636,285.08995020119306
70,2,100,7,126140.02445219667,307.65859622486994
71,2,100,85,0,0.0
72,2,100,87,0,0.0
73,2,100,80,67898.59363583317,323.32663636111033
74,2,100,70,204155.6444372478,533.0434580606992
75,2,100,40,110724.05839596894,106.1592122684266
76,2,100,63,0,0.0
77,2,100,91,4443.121077269474,634.7315824670677
78,2,100,9,0,0.0
79,2,100,89,19239.00575756185,243.53171845014998
80,2,100,43,110724.05839596894,106.1592122684266
81,2,100,83,347566.49828045606,1336.7942241556002
82,2,100,93,0,0.0
83,2,100,92,50911.98722643136,834.6227414169075
84,2,100,90,0,0.0
85,2,10,1,0,0.0
86,2,10,10,0,0.0
87,2,100,95,0,0.0
88,2,10,100,0,0.0
89,2,100,97,0,0.0
90,2,10,12,0,0.0
91,2,10,13,0,0.0
92,2,10,11,0,0.0
93,2,10,14,0,0.0
94,2,10,15,0,0.0
95,2,10,17,0,0.0
96,2,10,18,0,0.0
97,2,10,19,0,0.0
98,2,10,2,0,0.0
99,2,10,20,0,0.0
100,2,100,94,67898.59363583317,323.32663636111033
101,2,10,16,0,0.0
102,2,10,21,0,0.0
103,2,10,22,0,0.0
104,2,10,23,0,0.0
105,2,100,82,149672.22385562636,285.08995020119306
106,2,10,25,0,0.0
107,2,10,26,0,0.0
108,2,10,24,11574.001545468005,296.7692703966155
109,2,100,96,65993.93365532775,246.24602110196923
110,2,10,29,0,0.0
111,2,10,3,0,0.0
112,2,100,99,65993.93365532775,246.24602110196923
113,2,10,30,0,0.0
114,2,10,32,0,0.0
115,2,10,33,0,0.0
116,2,10,31,0,0.0
117,2,10,34,0,0.0
118,2,10,28,0,0.0
119,2,10,36,0,0.0
120,2,10,37,0,0.0
121,2,10,38,0,0.0
122,2,10,35,22763.61135345129,529.3863105453788
123,2,10,39,0,0.0
124,2,10,4,0,0.0
125,2,10,27,147086.94417498552,850.213550144425
126,2,10,41,0,0.0
127,2,100,88,0,0.0
128,2,10,43,0,0.0
129,2,10,44,0,0.0
130,2,10,45,0,0.0
131,2,10,47,0,0.0
132,2,10,46,0,0.0
133,2,10,48,0,0.0
134,2,10,40,0,0.0
135,2,10,52,0,0.0
136,2,10,51,0,0.0
137,2,10,5,0,0.0
138,2,10,54,0,0.0
139,2,10,55,0,0.0
140,2,10,56,0,0.0
141,2,100,74,110724.05839596894,106.1592122684266
142,2,10,57,0,0.0
143,2,10,58,0,0.0
144,2,10,53,50911.98722643136,834.6227414169075
145,2,10,42,147802.40341648803,754.0938949820818
146,2,10,60,0,0.0
147,2,100,86,0,0.0
148,2,10,61,0,0.0
149,2,10,62,0,0.0
150,2,10,64,0,0.0
151,2,10,65,0,0.0
152,2,10,66,0,0.0
153,2,10,49,0,0.0
154,2,10,67,0,0.0
155,2,10,68,0,0.0
156,2,10,69,0,0.0
157,2,10,59,28137.486887281008,202.42796321784897
158,2,10,70,0,0.0
159,2,10,71,0,0.0
160,2,10,72,0,0.0
161,2,10,73,0,0.0
162,2,10,74,0,0.0
163,2,10,75,0,0.0
164,2,10,76,0,0.0
165,2,10,77,0,0.0
166,2,10,79,0,0.0
167,2,10,78,0,0.0
168,2,10,8,0,0.0
169,2,10,80,0,0.0
170,2,10,81,0,0.0
171,2,10,82,0,0.0
172,2,10,83,0,0.0
173,2,10,6,0,0.0
174,2,10,86,0,0.0
175,2,10,89,0,0.0
176,2,10,7,110724.05839596894,498.7570198016619
177,2,10,88,0,0.0
178,2,10,90,0,0.0
179,2,10,9,6723.490793577039,216.8867997928077
180,2,10,92,0,0.0
181,2,10,91,24824.198488312024,636.5179099567185
182,2,10,94,0,0.0
183,2,10,95,0,0.0
184,2,10,96,0,0.0
185,2,10,97,0,0.0
186,2,10,98,0,0.0
187,2,100,98,110724.05839596894,106.1592122684266
188,2,10,50,0,0.0
189,2,10,93,67898.59363583317,893.4025478399101
190,2,20,100,0,0.0
191,2,20,10,0,0.0
192,2,10,99,0,0.0
193,2,10,63,213774.18658670897,504.1844023271438
194,2,20,11,0,0.0
195,2,10,87,0,0.0
196,2,20,12,0,0.0
197,2,10,84,0,0.0
198,2,10,85,0,0.0
199,2,20,15,0,0.0
200,2,20,14,0,0.0
201,2,20,16,0,0.0
202,2,20,13,0,0.0
203,2,20,19,0,0.0
204,2,20,18,0,0.0
205,2,20,17,13517.329325164925,422.4165414114039
206,2,20,2,0,0.0
207,2,20,21,0,0.0
208,2,20,22,0,0.0
209,2,20,25,0,0.0
210,2,20,23,0,0.0
211,2,20,24,26001.058419276254,742.887383407893
212,2,20,26,0,0.0
213,2,20,28,0,0.0
214,2,20,29,0,0.0
215,2,20,27,0,0.0
216,2,20,3,0,0.0
217,2,20,31,0,0.0
218,2,20,30,0,0.0
219,2,20,33,0,0.0
220,2,20,32,0,0.0
221,2,20,20,0,0.0
222,2,20,34,4842.425036849473,193.69700147397893
223,2,20,35,0,0.0
224,2,20,36,0,0.0
225,2,20,37,0,0.0
226,2,20,38,0,0.0
227,2,20,4,0,0.0
228,2,20,40,0,0.0
229,2,20,42,0,0.0
230,2,20,43,17170.257440622358,1320.7890338940274
231,2,20,44,0,0.0
232,2,20,45,0,0.0
233,2,20,47,0,0.0
234,2,20,41,0,0.0
235,2,20,46,0,0.0
236,2,20,50,0,0.0
237,2,20,49,0,0.0
238,2,20,51,0,0.0
239,2,20,53,0,0.0
240,2,20,52,0,0.0
241,2,20,54,0,0.0
242,2,20,55,0,0.0
243,2,20,56,0,0.0
244,2,20,58,0,0.0
245,2,20,48,147802.40341648803,754.0938949820818
246,2,20,5,147086.94417498552,850.213550144425
247,2,20,60,0,0.0
248,2,20,57,110724.05839596894,1496.2710594049856
249,2,20,59,0,0.0
250,2,20,64,0,0.0
251,2,20,6,0,0.0
252,2,20,61,23809.108638905618,517.5893182370786
253,2,20,66,0,0.0
254,2,20,67,0,0.0
255,2,20,69,0,0.0
256,2,20,68,2339.4154062721846,194.95128385601538
257,2,20,65,50911.98722643136,834.6227414169075
258,2,20,63,11440.133876219455,146.66838302845457
259,2,20,62,43230.32230187644,428.02299308788554
260,2,20,7,2585.2796806408433,1292.6398403204216
261,2,20,70,0,0.0
262,2,20,71,0,0.0
263,2,20,74,2068.7483169394886,689.5827723131629
264,2,20,76,0,0.0
265,2,20,77,0,0.0
266,2,20,78,0,0.0
267,2,20,75,11177.913918892746,279.44784797231864
268,2,20,8,0,0.0
269,2,20,80,0,0.0
270,2,20,79,0,0.0
271,2,20,82,0,0.0
272,2,20,73,0,0.0
273,2,20,83,0,0.0
274,2,100,64,516606.68771657615,178.01746647711101
275,2,20,85,0,0.0
276,2,20,87,0,0.0
277,2,20,81,55012.60899223826,514.1365326377407
278,2,20,9,0,0.0
279,2,20,88,0,0.0
280,2,20,91,4443.121077269474,634.7315824670677
281,2,20,90,0,0.0
282,2,20,84,53641.552905659264,429.13242324527414
283,2,20,92,0,0.0
284,2,20,93,0,0.0
285,2,20,96,0,0.0
286,2,20,97,0,0.0
287,2,20,72,0,0.0
288,2,20,99,0,0.0
289,2,30,1,0,0.0
290,2,20,89,147802.40341648803,754.0938949820818
291,2,30,10,0,0.0
292,2,30,100,0,0.0
293,2,30,11,0,0.0
294,2,30,12,0,0.0
295,2,20,94,0,0.0
296,2,20,98,0,0.0
297,2,30,15,0,0.0
298,2,20,95,0,0.0
299,2,30,14,26001.058419276254,866.7019473092084
300,2,30,16,0,0.0
301,2,30,19,0,0.0
302,2,30,18,11177.913918892746,508.0869963133066
303,2,30,2,0,0.0
304,2,30,23,0,0.0
305,2,20,39,107514.7080207017,85.19390492924065
306,2,30,24,0,0.0
307,2,30,21,0,0.0
308,2,30,25,0,0.0
309,2,30,28,0,0.0
310,2,20,86,53900.20326060862,91.51138074806218
311,2,30,30,0,0.0
312,2,30,20,65993.93365532775,362.6040310732294
313,2,30,31,0,0.0
314,2,30,34,0,0.0
315,2,30,26,108785.73412093871,692.9027651015205
316,2,30,33,0,0.0
