traceCompVal;sizeOfUncertainty;scenario;canBeTurnedOff;rate
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
3;0.845674780;1;0;0.1
41345;1.000000000;1;0;0.1
34;0.775926565;1;0;0.1
175;0.909023097;1;0;0.1
1420;0.736679797;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
2;0.907785803;1;0;0.1
41345;1.000000000;1;0;0.1
106;0.717220001;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
3;0.696665054;1;0;0.1
1650;0.292811553;1;0;0.1
41345;1.000000000;1;0;0.1
2232;0.963197424;1;0;0.1
41345;1.000000000;1;0;0.1
160;0.909108824;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
1420;0.484562355;1;0;0.1
250;0.000160325;1;0;0.1
1420;0.559825547;1;0;0.1
41345;1.000000000;1;0;0.1
105;0.571929183;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
1650;0.972130505;1;0;0.1
1;0.886809431;1;0;0.1
41345;1.000000000;1;0;0.1
63;0.675442906;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
3;0.795639400;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
451;0.591463814;1;0;0.1
68;0.530475165;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
1650;0.968315622;1;0;0.1
1;0.646928717;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
2232;0.876185349;1;0;0.1
41345;1.000000000;1;0;0.1
41345;1.000000000;1;0;0.1
