,strategy,rate,iteration,total_correctness,avg_correctness
0,2,10,1,0,0
1,2,10,10,0,0
2,2,10,100,0,0
3,2,10,12,0,0
4,2,10,13,0,0
5,2,10,14,0,0
6,2,10,15,0,0
7,2,10,17,0,0
8,2,10,18,0,0
9,2,10,19,0,0
10,2,10,2,0,0
11,2,10,20,0,0
12,2,10,21,0,0
13,2,10,22,0,0
14,2,10,23,0,0
15,2,10,25,0,0
16,2,10,26,0,0
17,2,10,29,0,0
18,2,10,3,0,0
19,2,10,30,0,0
20,2,10,32,0,0
21,2,10,33,0,0
22,2,10,34,0,0
23,2,10,36,0,0
24,2,10,37,0,0
25,2,10,38,0,0
26,2,10,39,0,0
27,2,10,4,0,0
28,2,10,41,0,0
29,2,10,43,0,0
30,2,10,44,0,0
31,2,10,46,0,0
32,2,10,47,0,0
33,2,10,48,0,0
34,2,10,52,0,0
35,2,10,54,0,0
36,2,10,55,0,0
37,2,10,56,0,0
38,2,10,57,0,0
39,2,10,58,0,0
40,2,10,60,0,0
41,2,10,61,0,0
42,2,10,64,0,0
43,2,10,65,0,0
44,2,10,66,0,0
45,2,10,67,0,0
46,2,10,68,0,0
47,2,10,69,0,0
48,2,10,71,0,0
49,2,10,72,0,0
50,2,10,73,0,0
51,2,10,74,0,0
52,2,10,75,0,0
53,2,10,76,0,0
54,2,10,77,0,0
55,2,10,78,0,0
56,2,10,79,0,0
57,2,10,8,0,0
58,2,10,80,0,0
59,2,10,81,0,0
60,2,10,82,0,0
61,2,10,83,0,0
62,2,10,86,0,0
63,2,10,89,0,0
64,2,10,90,0,0
65,2,10,92,0,0
66,2,10,95,0,0
67,2,10,96,0,0
68,2,10,98,0,0
69,2,20,10,0,0
70,2,20,100,0,0
71,2,20,11,0,0
72,2,20,12,0,0
73,2,20,14,0,0
74,2,20,18,0,0
75,2,20,19,0,0
76,2,20,2,0,0
77,2,20,21,0,0
78,2,20,22,0,0
79,2,20,25,0,0
80,2,20,28,0,0
81,2,20,29,0,0
82,2,20,31,0,0
83,2,20,30,0,0
84,2,20,33,0,0
85,2,20,35,0,0
86,2,20,36,0,0
87,2,20,37,0,0
88,2,20,38,0,0
89,2,20,40,0,0
90,2,20,44,0,0
91,2,20,45,0,0
92,2,20,47,0,0
93,2,20,50,0,0
94,2,20,51,0,0
95,2,20,53,0,0
96,2,20,54,0,0
97,2,20,55,0,0
98,2,20,58,0,0
99,2,20,60,0,0
100,2,20,64,0,0
101,2,20,69,0,0
102,2,20,70,0,0
103,2,20,71,0,0
104,2,20,76,0,0
105,2,20,77,0,0
106,2,20,78,0,0
107,2,20,8,0,0
108,2,20,80,0,0
109,2,20,82,0,0
110,2,20,83,0,0
111,2,20,85,0,0
112,2,20,87,0,0
113,2,20,9,0,0
114,2,20,90,0,0
115,2,20,96,0,0
116,2,20,97,0,0
117,2,20,99,0,0
118,2,30,1,0,0
119,2,30,10,0,0
120,2,30,100,0,0
121,2,30,11,0,0
122,2,30,15,0,0
123,2,30,19,0,0
124,2,30,23,0,0
125,2,30,24,0,0
126,2,30,28,0,0
127,2,30,30,0,0
128,2,30,34,0,0
129,2,30,37,0,0
