,strategy,rate,iteration,total_correctness,avg_correctness
0,1,100,17,54741.37320983739,7820.196172833913
1,1,100,2,50827.62719999681,7261.089599999544
2,1,100,13,35299.50397407425,980.5417770576181
3,1,100,1,362183.4308428158,5659.116106918997
4,1,100,16,116096.29703716985,2638.5522053902237
5,1,100,25,37078.392468880294,1426.0920180338576
6,1,100,21,58659.48295611098,1504.0893065669482
7,1,100,24,132082.42301471997,3001.873250334545
8,1,100,26,35299.50397407425,980.5417770576181
9,1,100,20,352541.4591427312,5508.460299105175
10,1,100,19,563046.957418322,5027.204976949303
11,1,100,28,189170.58879267273,2823.441623771235
12,1,100,31,321454.55843440036,5844.628335170915
13,1,100,29,225943.3423234565,2824.2917790432066
14,1,100,34,349106.23811531835,6347.386147551243
15,1,100,35,373580.66514770384,5837.1978929328725
16,1,100,12,1216933.0608875826,4680.511772644549
17,1,100,38,26305.822922966832,2630.582292296683
18,1,100,36,595413.4019366275,7536.87850552693
19,1,100,11,1805150.5529637593,5084.931135109181
20,1,100,37,427736.03952973685,2795.6603890832475
21,1,100,18,2145211.0441864706,5601.073222418983
22,1,100,33,785749.8022192868,2284.1564018002523
23,1,100,15,695427.0376720496,1492.3326988670592
24,1,100,4,490252.22103375534,2334.5343858750252
25,1,100,44,44851.49501444114,1725.0575005554285
26,1,100,41,447956.55420884275,2927.8206157440704
27,1,100,10,2704225.163463267,4258.622304666562
28,1,100,42,482415.13500882225,3153.0400980968775
29,1,100,40,1188833.2680921797,4572.435646508384
30,1,100,14,2596121.0423757033,4088.379594292446
31,1,100,30,3707925.4743306865,7270.442106530758
32,1,100,50,57018.850115876594,5701.885011587659
33,1,100,32,2903522.5953801502,5693.181559568922
34,1,100,23,2663356.799262293,4194.262676003611
35,1,100,22,2620231.8173018266,4126.349318585553
36,1,100,55,35299.50397407425,980.5417770576181
37,1,100,51,765974.9536131603,4185.65548422492
38,1,100,39,4354640.832943309,8294.553967511065
39,1,100,48,1450228.435465714,5577.80167486813
40,1,100,47,779052.9754722109,2264.6888821866596
41,1,100,100,7538791.287326573,8518.408234267314
42,1,100,53,408361.61596457864,1334.515084851564
43,1,100,58,566730.180814878,5060.090900132839
44,1,100,6,73276.76588038371,1665.3810427359933
